Country Code,Table Name,Region,CPI 2016 Score,CPI 2015 Score,CPI 2014 Score,CPI 2013 Score,CPI 2012 Score
AFG,Afghanistan,South Asia,15,11,12,8,8
ALB,Albania,Europe & Central Asia,39,36,33,31,33
DZA,Algeria,Middle East & North Africa,34,36,36,36,34
AGO,Angola,Sub-Saharan Africa,18,15,19,23,22
ARG,Argentina,Latin America & Caribbean,36,32,34,34,35
ARM,Armenia,Europe & Central Asia,33,35,37,36,34
AUS,Australia,East Asia & Pacific,79,79,80,81,85
AUT,Austria,Europe & Central Asia,75,76,72,69,69
AZE,Azerbaijan,Europe & Central Asia,30,29,29,28,27
BHS,"Bahamas, The",Latin America & Caribbean,66,0,71,71,71
BHR,Bahrain,Middle East & North Africa,43,51,49,48,51
BGD,Bangladesh,South Asia,26,25,25,27,26
BRB,Barbados,Latin America & Caribbean,61,0,74,75,76
BLR,Belarus,Europe & Central Asia,40,32,31,29,31
BEL,Belgium,Europe & Central Asia,77,77,76,75,75
BEN,Benin,Sub-Saharan Africa,36,37,39,36,36
BTN,Bhutan,South Asia,65,65,65,63,63
BOL,Bolivia,Latin America & Caribbean,33,34,35,34,34
BIH,Bosnia and Herzegovina,Europe & Central Asia,39,38,39,42,42
BWA,Botswana,Sub-Saharan Africa,60,63,63,64,65
BRA,Brazil,Latin America & Caribbean,40,38,43,42,43
BRN,Brunei Darussalam,East Asia & Pacific,58,0,0,60,55
BGR,Bulgaria,Europe & Central Asia,41,41,43,41,41
BFA,Burkina Faso,Sub-Saharan Africa,42,38,38,38,38
BDI,Burundi,Sub-Saharan Africa,20,21,20,21,19
CPV,Cabo Verde,Sub-Saharan Africa,59,55,57,58,60
KHM,Cambodia,East Asia & Pacific,21,21,21,20,22
CMR,Cameroon,Sub-Saharan Africa,26,27,27,25,26
CAN,Canada,North America,82,83,81,81,84
CAF,Central African Republic,Sub-Saharan Africa,20,24,24,25,26
TCD,Chad,Sub-Saharan Africa,20,22,22,19,19
CHL,Chile,Latin America & Caribbean,66,70,73,71,72
CHN,China,East Asia & Pacific,40,37,36,40,39
COL,Colombia,Latin America & Caribbean,37,37,37,36,36
COM,Comoros,Sub-Saharan Africa,24,26,26,28,28
COG,"Congo, Rep.",Sub-Saharan Africa,20,23,23,22,26
CRI,Costa Rica,Latin America & Caribbean,58,55,54,53,54
CIV,Cote d-Ivoire,Sub-Saharan Africa,34,32,32,27,29
HRV,Croatia,Europe & Central Asia,49,51,48,48,46
CUB,Cuba,Latin America & Caribbean,47,47,46,46,48
CYP,Cyprus,Europe & Central Asia,55,61,63,63,66
CZE,Czech Republic,Europe & Central Asia,55,56,51,48,49
DNK,Denmark,Europe & Central Asia,90,91,92,91,90
DJI,Djibouti,Middle East & North Africa,30,34,34,36,36
DMA,Dominica,Latin America & Caribbean,59,0,58,58,58
DOM,Dominican Republic,Latin America & Caribbean,31,33,32,29,32
ECU,Ecuador,Latin America & Caribbean,31,32,33,35,32
EGY,"Egypt, Arab Rep.",Middle East & North Africa,34,36,37,32,32
SLV,El Salvador,Latin America & Caribbean,36,39,39,38,38
ERI,Eritrea,Sub-Saharan Africa,18,18,18,20,25
EST,Estonia,Europe & Central Asia,70,70,69,68,64
ETH,Ethiopia,Sub-Saharan Africa,34,33,33,33,33
FIN,Finland,Europe & Central Asia,89,90,89,89,90
FRA,France,Europe & Central Asia,69,70,69,71,71
GAB,Gabon,Sub-Saharan Africa,35,34,37,34,35
GMB,"Gambia, The",Sub-Saharan Africa,26,28,29,28,34
GEO,Georgia,Europe & Central Asia,57,52,52,49,52
DEU,Germany,Europe & Central Asia,81,81,79,78,79
GHA,Ghana,Sub-Saharan Africa,43,47,48,46,45
GRC,Greece,Europe & Central Asia,44,46,43,40,36
GRD,Grenada,Latin America & Caribbean,56,0,0,0,0
GTM,Guatemala,Latin America & Caribbean,28,28,32,29,33
GIN,Guinea,Sub-Saharan Africa,27,25,25,24,24
GNB,Guinea-Bissau,Sub-Saharan Africa,16,17,19,19,25
GUY,Guyana,Latin America & Caribbean,34,29,30,27,28
HTI,Haiti,Latin America & Caribbean,20,17,19,19,19
HND,Honduras,Latin America & Caribbean,30,31,29,26,28
HKG,"Hong Kong SAR, China",East Asia & Pacific,77,75,74,75,77
HUN,Hungary,Europe & Central Asia,48,51,54,54,55
ISL,Iceland,Europe & Central Asia,78,79,79,78,82
IND,India,South Asia,40,38,38,36,36
IDN,Indonesia,East Asia & Pacific,37,36,34,32,32
IRN,"Iran, Islamic Rep.",Middle East & North Africa,29,27,27,25,28
IRQ,Iraq,Middle East & North Africa,17,16,16,16,18
IRL,Ireland,Europe & Central Asia,73,75,74,72,69
ISR,Israel,Middle East & North Africa,64,61,60,61,60
ITA,Italy,Europe & Central Asia,47,44,43,43,42
