CPI 2016 Rank,Country Code,Country,Region,CPI 2016 Score,CPI 2015 Score,CPI 2014 Score,CPI 2013 Score,CPI 2012 Score
169,AFG,Afghanistan,Asia Pacific,15,11,12,8,8
83,ALB,Albania,Europe and Central Asia,39,36,33,31,33
108,DZA,Algeria,Middle East and North Africa,34,36,36,36,34
164,AGO,Angola,Sub-Saharan Africa,18,15,19,23,22
95,ARG,Argentina,Americas,36,32,34,34,35
113,ARM,Armenia,Europe and Central Asia,33,35,37,36,34
13,AUS,Australia,Asia Pacific,79,79,80,81,85
17,AUT,Austria,Europe and Central Asia,75,76,72,69,69
123,AZE,Azerbaijan,Europe and Central Asia,30,29,29,28,27
24,BHS,Bahamas,Americas,66,,71,71,71
70,BHR,Bahrain,Middle East and North Africa,43,51,49,48,51
145,BGD,Bangladesh,Asia Pacific,26,25,25,27,26
31,BRB,Barbados,Americas,61,,74,75,76
79,BLR,Belarus,Europe and Central Asia,40,32,31,29,31
15,BEL,Belgium,Europe and Central Asia,77,77,76,75,75
95,BEN,Benin,Sub-Saharan Africa,36,37,39,36,36
27,BTN,Bhutan,Asia Pacific,65,65,65,63,63
113,BOL,Bolivia,Americas,33,34,35,34,34
83,BIH,Bosnia and Herzegovina,Europe and Central Asia,39,38,39,42,42
35,BWA,Botswana,Sub-Saharan Africa,60,63,63,64,65
79,BRA,Brazil,Americas,40,38,43,42,43
41,BRN,Brunei,Asia Pacific,58,,,60,55
75,BGR,Bulgaria,Europe and Central Asia,41,41,43,41,41
72,BFA,Burkina Faso,Sub-Saharan Africa,42,38,38,38,38
159,BDI,Burundi,Sub-Saharan Africa,20,21,20,21,19
108,CIV,Cote d-Ivoire,Sub-Saharan Africa,34,32,32,27,29
156,KHM,Cambodia,Asia Pacific,21,21,21,20,22
145,CMR,Cameroon,Sub-Saharan Africa,26,27,27,25,26
9,CAN,Canada,Americas,82,83,81,81,84
38,CPV,Cape Verde,Sub-Saharan Africa,59,55,57,58,60
159,CAF,Central African Republic,Sub-Saharan Africa,20,24,24,25,26
159,TCD,Chad,Sub-Saharan Africa,20,22,22,19,19
24,CHL,Chile,Americas,66,70,73,71,72
79,CHN,China,Asia Pacific,40,37,36,40,39
90,COL,Colombia,Americas,37,37,37,36,36
153,COM,Comoros,Sub-Saharan Africa,24,26,26,28,28
41,CRI,Costa Rica,Americas,58,55,54,53,54
55,HRV,Croatia,Europe and Central Asia,49,51,48,48,46
