CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,Score 2015,Change in Yearly Score from 2014,Property Rights,Change in Property Rights from 2014,Freedom from Corruption,Change in Freedom from Corruption from 2014,Fiscal Freedom ,Change in Fiscal Freedom from 2014,Gov't Spending,Change in Gov't Spending from 2014,Business Freedom,Change in Business Freedom from 2014,Labor Freedom,Change in Labor Freedom from 2014,Monetary Freedom,Change in Monetary Freedom from 2014,Trade Freedom,Change in Trade Freedom from 2014,Investment Freedom ,Change in Investment Freedom from 2014,Financial Freedom,Change in Financial Freedom from 2014,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,N/A,8.0,-2.0,91.7,0.5,81.2,-3.0,61.4,-1.7,67.5,-7.5,72.6,-1.7,N/A,N/A,55.0,-10.0,N/A,N/A,N/A,20.0,20.0,5.5,25.0,Afghanistan,30.6,$35.1 ,3.6,10.5,"$1,150",8.5,7.4,69.3,N/A
2,Albania,Albania,Europe,63,29,65.7,-1.2,30.0,0.0,31.0,0.6,87.2,-5.5,76.1,0.5,70.6,-7.5,52.9,3.2,80.8,0.8,87.8,0.3,70.0,-5.0,70.0,0.0,1.1,23.0,15.0,22.9,28.2,Albania,2.8,$26.5 ,0.7,2.4,"$9,506",16.1,1.9,"1,225.5",70.5
3,Algeria,Algeria,Middle East / North Africa,157,14,48.9,-1.9,30.0,0.0,36.0,7.3,80.0,-0.5,38.7,-12.3,66.6,0.3,50.5,2.2,71.2,3.4,60.8,0.0,25.0,-20.0,30.0,0.0,12.1,35.0,25.0,12.2,45.2,Algeria,37.9,$285.5 ,2.7,2.8,"$7,534",9.8,3.3,"1,691.0",9.2
4,Angola,Angola,Sub-Saharan Africa,158,39,47.9,0.2,15.0,0.0,23.0,5.3,84.5,-3.2,50.1,-5.2,47.4,-0.1,43.2,3.1,65.4,1.8,70.2,0.1,40.0,0.0,40.0,0.0,7.4,17.0,35.0,5.6,40.8,Angola,20.8,$130.1 ,4.1,3.8,"$6,247",8.4,8.8,"-4,284.8",26.6
5,Argentina,Argentina,South and Central America / Caribbean,169,27,44.1,-0.5,15.0,0.0,34.0,4.5,66.8,3.3,41.2,-8.7,52.8,-1.1,43.3,-1.6,59.6,-0.4,68.8,-0.1,30.0,0.0,30.0,0.0,5.6,35.0,35.0,29.5,44.3,Argentina,41.5,$777.9 ,4.3,4.9,"$18,749",7.3,10.6,"9,082.0",46.9
6,Armenia,Armenia,Europe,52,23,67.1,-1.8,20.0,-10.0,36.0,9.3,84.4,-2.1,82.8,1.5,82.7,-0.4,64.3,-14.2,70.6,-6.4,85.4,-0.1,75.0,5.0,70.0,0.0,2.3,26.0,20.0,22.0,23.9,Armenia,3.3,$20.4 ,3.2,0.3,"$6,191",16.0,5.8,370.0,41.9
7,Australia,Australia,Asia-Pacific,4,4,81.4,-0.6,90.0,0.0,81.0,-6.7,63.7,-0.5,61.8,-0.8,94.1,-0.5,81.6,2.4,85.3,4.8,86.4,0.0,80.0,-5.0,90.0,0.0,1.8,45.0,30.0,26.5,35.7,Australia,23.2,$999.6 ,2.4,2.5,"$43,073",5.6,2.5,"49,826.2",28.8
8,Austria,Austria,Europe,30,16,71.2,-1.2,90.0,0.0,69.0,-6.5,50.1,-0.9,19.8,-3.7,78.0,1.7,76.7,-3.8,80.3,0.8,88.0,0.2,90.0,0.0,70.0,0.0,1.0,50.0,25.0,43.2,51.7,Austria,8.5,$361.4 ,0.4,0.4,"$42,597",4.8,2.1,"11,082.7",74.2
9,Azerbaijan,Azerbaijan,Asia-Pacific,85,17,61.0,-0.3,20.0,0.0,28.0,5.3,88.1,0.0,59.7,-5.1,74.5,1.0,79.1,1.2,79.8,1.0,76.0,-1.2,55.0,-5.0,50.0,0.0,4.5,25.0,20.0,12.7,36.7,Azerbaijan,9.3,$102.8 ,5.8,4.4,"$11,044",5.5,2.4,"2,632.0",13.8
10,Bahamas,Bahamas,South and Central America / Caribbean,41,4,68.7,-1.1,70.0,0.0,71.0,4.4,97.8,0.5,83.2,-0.9,68.9,-1.8,75.3,-6.2,78.8,3.7,52.2,0.0,30.0,0.0,60.0,-10.0,18.9,0.0,0.0,15.0,23.7,The Bahamas,0.4,$11.4 ,1.9,0.4,"$32,036",13.6,0.3,"1,110.8",56.3
11,Bahrain,Bahrain,Middle East / North Africa,18,1,73.4,-1.7,60.0,0.0,48.0,-1.4,99.9,0.0,73.1,1.7,72.5,-3.8,83.1,1.1,74.2,-4.2,78.6,0.0,65.0,-10.0,80.0,0.0,5.7,0.0,0.0,3.4,29.9,Bahrain,1.2,$40.6 ,4.9,3.4,"$34,584",7.4,3.3,988.8,43.9
12,Bangladesh,Bangladesh,Asia-Pacific,131,27,53.9,-0.2,20.0,0.0,27.0,3.7,72.7,0.2,92.0,-0.3,62.2,-8.6,63.7,11.8,67.7,1.8,59.0,0.0,45.0,-10.0,30.0,0.0,13.0,25.0,45.0,9.0,16.3,Bangladesh,156.3,$325.1 ,5.8,6.1,"$2,080",4.3,7.5,"1,599.1",39.7
